time,Q1,Q2,TC1,TC2
0,0,0,20.381,20.381
5.867,0,0,20.381,20.381
8.862,100,0,20.381,20.87
11.868,100,0,20.87,20.381
14.874,100,0,20.87,20.381
17.87,100,0,21.359,20.381
20.865,100,0,21.848,20.381
23.864,100,0,22.336,20.381
26.855,100,0,22.825,20.381
29.845,100,0,23.803,20.381
32.849,100,0,24.291,20.381
35.846,100,0,24.78,20.381
38.84,100,0,25.758,20.87
41.837,100,0,26.735,20.87
44.835,100,0,27.713,20.87
47.838,100,0,28.201,20.87
50.842,100,0,29.668,20.381
53.838,100,0,30.156,20.87
56.833,100,0,31.134,20.87
59.827,100,0,32.111,20.87
62.831,100,0,33.089,21.359
65.824,100,0,34.066,21.359
68.826,100,0,34.555,21.359
71.818,100,0,35.533,21.359
74.816,100,60,36.999,21.848
77.812,100,60,37.488,21.848
80.817,100,60,38.465,21.848
83.807,100,60,39.443,23.314
86.806,100,60,39.932,23.314
89.805,100,60,40.909,23.803
92.795,100,60,41.398,23.314
95.799,100,60,42.375,24.291
98.793,100,60,43.353,24.291
101.79,100,60,44.33,24.78
104.79,100,60,45.308,24.78
107.79,100,60,44.819,24.78
110.79,100,60,46.285,25.758
113.78,100,60,46.774,26.735
116.78,100,60,47.752,26.246
119.78,100,60,48.729,26.735
122.77,100,60,49.218,28.201
125.8,100,60,50.684,28.69
128.8,100,60,50.684,28.201
131.8,100,60,51.173,28.69
134.8,100,60,51.662,28.69
137.79,100,60,53.128,29.179
140.78,100,60,53.128,30.156
143.79,100,60,54.106,30.645
146.79,100,60,54.594,30.645
149.78,0,60,54.594,31.623
152.78,0,60,55.572,31.623
155.77,0,60,55.572,32.111
158.77,0,60,56.061,32.6
161.77,0,60,56.549,34.066
164.77,0,60,56.549,34.066
167.78,0,60,56.549,34.066
170.78,0,60,55.572,34.066
173.78,0,60,56.061,35.044
176.78,0,60,55.572,34.555
179.77,0,60,55.083,35.044
182.77,0,60,54.594,36.022
185.76,0,60,54.106,35.533
188.75,0,60,54.106,36.022
191.74,0,60,53.617,36.022
194.73,0,60,52.639,36.51
197.74,0,60,51.662,36.999
200.73,0,60,51.662,36.999
203.73,0,60,52.151,37.488
206.73,0,60,51.173,37.488
209.72,0,60,50.684,37.977
212.72,0,60,50.196,37.977
215.72,0,60,49.707,38.465
218.71,0,60,49.218,38.954
221.72,0,60,48.729,38.954
224.71,0,100,48.24,40.42
227.71,0,100,48.24,38.954
230.71,0,100,47.263,39.932
233.71,0,100,47.263,40.909
236.7,0,100,46.774,41.398
239.7,0,100,46.285,40.42
242.7,0,100,45.797,41.398
245.69,0,100,45.308,41.887
248.69,0,100,44.819,40.909
251.7,0,100,44.819,41.887
254.7,0,100,43.842,41.887
257.69,0,100,44.33,42.375
260.68,0,100,43.842,42.864
263.68,0,100,43.353,43.842
266.68,0,100,42.864,43.842
269.67,0,100,42.864,43.353
272.67,0,100,42.375,44.819
275.68,0,100,42.375,44.819
278.67,0,100,41.887,45.308
281.66,0,100,41.398,44.33
284.65,0,100,41.398,45.797
287.65,0,100,40.909,45.797
290.64,0,100,40.42,45.797
293.64,0,100,40.909,46.285
296.63,0,100,40.42,46.774
299.63,80,100,40.42,46.774
302.63,80,100,39.443,46.285
305.63,80,100,39.932,47.263
308.62,80,100,40.42,46.774
311.61,80,100,39.932,46.774
314.61,80,100,39.932,47.263
317.61,80,100,40.909,47.263
320.61,80,100,40.909,47.752
323.6,80,100,41.887,48.24
326.59,80,100,41.398,48.24
329.58,80,100,42.864,48.24
332.57,80,100,42.375,49.707
335.57,80,100,43.353,49.707
338.57,80,100,44.33,49.218
341.56,80,100,44.819,49.707
344.56,80,100,44.819,49.218
347.56,80,100,46.285,50.196
350.55,80,100,46.285,49.707
353.55,80,100,46.774,49.707
356.57,80,100,47.752,50.684
359.56,80,100,47.752,50.196
362.56,80,100,48.729,50.684
365.55,80,100,49.218,51.173
368.55,80,100,49.707,51.662
371.55,80,100,50.684,51.662
374.55,80,25,50.684,52.151
377.54,80,25,51.173,51.173
380.54,80,25,51.662,51.173
383.54,80,25,52.639,51.662
386.54,80,25,53.128,51.662
389.54,43.046,25,53.128,51.662
392.53,43.046,25,54.106,51.662
395.53,43.046,25,54.106,51.173
398.53,43.046,25,54.106,51.173
401.53,43.046,25,54.594,51.173
404.53,43.046,90.758,55.083,51.173
407.52,43.046,90.758,55.572,50.684
410.52,43.046,90.758,55.572,50.684
413.52,43.046,90.758,55.572,51.662
416.52,43.046,90.758,55.572,50.684
419.52,11.109,90.758,55.572,50.684
422.51,11.109,90.758,56.061,50.684
425.52,11.109,90.758,56.061,51.173
428.51,11.109,90.758,55.572,51.662
431.51,11.109,90.758,56.061,51.173
434.51,11.109,14.319,55.083,51.173
437.5,11.109,14.319,56.061,51.173
440.5,11.109,14.319,54.594,51.173
443.5,11.109,14.319,55.083,51.173
446.5,11.109,14.319,54.594,51.173
449.49,78.407,14.319,54.106,51.662
452.49,78.407,14.319,54.106,51.173
455.49,78.407,14.319,53.617,50.684
458.49,78.407,14.319,53.617,50.684
461.49,78.407,14.319,53.617,50.196
464.48,78.407,5.3633,53.617,50.196
467.47,78.407,5.3633,54.106,49.707
470.47,78.407,5.3633,54.106,49.707
473.47,78.407,5.3633,54.594,49.218
476.47,78.407,5.3633,54.106,49.218
479.47,8.1718,5.3633,54.594,48.729
482.46,8.1718,5.3633,54.594,48.24
485.46,8.1718,5.3633,54.594,48.24
488.45,8.1718,5.3633,54.594,47.752
491.45,8.1718,5.3633,55.083,47.263
494.45,8.1718,97.868,54.594,46.774
497.45,8.1718,97.868,54.594,46.774
500.45,8.1718,97.868,54.106,46.774
503.46,8.1718,97.868,54.106,46.774
506.46,8.1718,97.868,53.617,47.263
509.46,6.658,97.868,53.617,46.285
512.45,6.658,97.868,53.617,46.285
515.45,6.658,97.868,53.128,47.263
518.45,6.658,97.868,52.151,47.263
521.45,6.658,97.868,52.151,47.752
524.45,6.658,88.564,51.662,47.752
527.44,6.658,88.564,51.662,47.752
530.45,6.658,88.564,51.173,47.752
533.44,6.658,88.564,50.684,47.263
536.45,6.658,88.564,50.196,47.752
539.44,45.343,88.564,50.196,48.729
542.44,45.343,88.564,49.707,49.218
545.44,45.343,88.564,49.707,47.752
548.44,45.343,88.564,49.218,47.752
551.44,45.343,88.564,49.707,49.218
554.43,45.343,88.564,49.218,48.24
557.44,45.343,25,49.707,48.24
560.43,45.343,25,50.196,48.24
563.43,45.343,25,49.218,48.729
566.43,45.343,25,49.218,49.218
569.43,45.343,25,48.729,48.24
572.43,80,25,49.218,48.24
575.42,80,25,49.218,48.729
578.42,80,25,49.707,48.24
581.42,80,25,49.218,48.729
584.42,80,25,50.196,48.24
587.42,80,25,50.196,48.24
590.41,80,25,49.707,47.752
593.41,80,25,50.196,47.752
596.4,80,25,51.173,47.752
599.39,80,25,51.173,47.263
